Aluno,Universidade,Nota,Resultado
L6089,C3290,"2,82",Negada
I6098,C3290,"3,48",Negada
J6105,C3290,,Negada
J6111,C3290,,Escolhida
G6114,C3290,,Negada
I6116,C3290,,Negada
L6119,C3290,"3,15",Negada
I6122,C3290,"3,48",Negada
L6137,C3290,,Negada
H6139,C3290,,Negada
J6147,C3290,,Aceita
I6152,C3290,"2,48",Negada
I6158,C3290,,Negada
G6162,C3290,,Negada
K6166,C3290,"3,48",Negada
I6176,C3290,"3,15",Negada
I6182,C3290,"3,24",Negada
K6190,C3290,"2,15",Negada
G6192,C3290,,Negada
H6199,C3290,,Negada
G6204,C3290,,Negada
J6213,C3290,,Aceita
K6220,C3290,"3,15",Negada
K6226,C3290,,Negada
I6230,C3290,"3,15",Negada
H6241,C3290,"3,15",Negada
I6116,D3291,,Negada
G6162,E3292,,Aceita
G6180,E3292,"3,48",Negada
J6213,E3292,,Aceita
K6004,F3293,"3,15",Negada
L6011,F3293,,Aceita
H6013,F3293,"2,15",Negada
G6030,F3293,"3,15",Aceita
H6007,F3293,"3,15",Cancelada
K6064,F3293,,Cancelada
I6122,F3293,"3,48",Cancelada
J6147,F3293,,Cancelada
K6166,F3293,"3,48",Cancelada
H6175,F3293,,Cancelada
K6034,F3293,"3,15",Aceita
L6041,F3293,"3,48",Aceita
I6044,F3293,"3,82",Aceita
J6051,F3293,,Escolhida
L6053,F3293,"2,82",Aceita
K6070,F3293,"3,82",Aceita
I6080,F3293,"3,48",Cancelada
K6082,F3293,,Cancelada
I6098,F3293,"3,48",Negada
J6099,F3293,"3,48",Aceita
J6105,F3293,,Escolhida
J6111,F3293,,Aceita
I6116,F3293,,Negada
L6119,F3293,"3,15",Negada
L6137,F3293,,Aceita
H6139,F3293,,Escolhida
K6142,F3293,"2,48",Negada
I6158,F3293,,Aceita
G6162,F3293,,Aceita
K6166,F3293,"3,48",Negada
I6176,F3293,"3,15",Negada
G6180,F3293,"3,48",Aceita
I6182,F3293,"3,24",Negada
K6190,F3293,"2,15",Negada
G6192,F3293,,Aceita
H6199,F3293,,Aceita
G6204,F3293,,Aceita
L6209,F3293,,Aceita
J6213,F3293,,Aceita
H6217,F3293,"3,15",Negada
K6226,F3293,,Aceita
I6230,F3293,"3,15",Negada
K6238,F3293,"3,48",Aceita
H6241,F3293,"3,15",Negada
J6099,A3294,"3,48",Cancelada
I6116,A3294,,Cancelada
G6162,A3294,,Cancelada
H6175,A3294,,Cancelada
K6034,A3294,"3,15",Aceita
L6041,A3294,"3,48",Aceita
J6051,A3294,,Aceita
L6053,A3294,"2,82",Aceita
L6059,A3294,"2,15",Escolhida
L6089,A3294,"2,82",Escolhida
I6098,A3294,"3,48",Negada
J6105,A3294,,Aceita
J6111,A3294,,Aceita
G6114,A3294,,Negada
L6119,A3294,"3,15",Aceita
I6122,A3294,"3,48",Aceita
L6137,A3294,,Aceita
I6158,A3294,,Aceita
K6166,A3294,"3,48",Aceita
G6180,A3294,"3,48",Negada
J6213,A3294,,Aceita
H6217,A3294,"3,15",Negada
H6241,A3294,"3,15",Escolhida
H6013,B3295,"2,15",Negada
L6059,B3295,"2,15",Aceita
J6099,B3295,"3,48",Aceita
I6116,B3295,,Negada
L6137,B3295,,Aceita
G6192,B3295,,Aceita
J6213,B3295,,Aceita
H6217,B3295,"3,15",Aceita
J6081,C3296,,Aceita
K6130,C3296,"2,82",Aceita
L6005,D3297,,Cancelada
G6006,D3297,,Inválida / Cancelada
L6029,D3297,,Inválida / Cancelada
J6027,D3297,"4,29",Cancelada
L6059,D3297,"2,15",Cancelada
J6075,D3297,,Cancelada
L6077,D3297,"4,15",Cancelada
H6115,D3297,"3,15",Cancelada
J6159,D3297,,Cancelada
G6174,D3297,"3,48",Cancelada
I6176,D3297,"3,15",Cancelada
G6198,D3297,,Cancelada
I6206,D3297,"2,91",Cancelada
H6043,D3297,,Cancelada
L6071,D3297,"2,15",Cancelada
H6097,D3297,"3,48",Cancelada
K6100,D3297,,Cancelada
L6107,D3297,,Cancelada
H6109,D3297,,Cancelada
J6129,D3297,"3,48",Cancelada
H6145,D3297,"2,15",Negada
K6148,D3297,"2,15",Cancelada
G6156,D3297,,Cancelada
G6174,D3297,"3,48",Cancelada
I6218,D3297,,Cancelada
I6110,E3298,"2,82",Cancelada
L6011,F3299,,Escolhida
G6132,F3299,,Cancelada
I6212,F3299,,Cancelada
H6229,F3299,"4,15",Cancelada
G6042,F3299,,Negada
K6058,F3299,"3,48",Negada
I6068,F3299,,Negada
K6070,F3299,"3,82",Negada
H6085,F3299,"3,82",Negada
K6094,F3299,,Negada
L6095,F3299,,Escolhida
G6102,F3299,"3,48",Negada
K6112,F3299,"3,15",Negada
J6129,F3299,"3,48",Negada
G6132,F3299,,Inválida / Cancelada
J6147,F3299,,Aceita
L6185,F3299,,Negada
J6189,F3299,"4,15",Negada
J6201,F3299,,Negada
H6211,F3299,"3,82",Negada
H6229,F3299,"4,15",Negada
K6136,A3300,,Cancelada
G6216,A3300,"3,48",Cancelada
H6037,A3300,"2,48",Aceita
J6099,A3300,"3,48",Aceita
K6100,A3300,,Aceita
H6157,A3300,"3,48",Aceita
L6173,A3300,,Cancelada
G6174,A3300,"3,48",Aceita
L6197,A3300,"3,15",Aceita
K6220,A3300,"3,15",Aceita
J6225,A3300,"4,15",Aceita
L6041,B3301,"3,48",Aceita
I6008,C3302,"2,82",Aceita
H6013,C3302,"2,15",Aceita
L6017,C3302,,Aceita
I6020,C3302,"3,93",Escolhida
H6073,C3302,"2,82",Cancelada
J6111,C3302,,Cancelada
I6122,C3302,"3,48",Cancelada
H6175,C3302,,Cancelada
K6034,C3302,"3,15",Aceita
I6044,C3302,"3,82",Aceita
K6046,C3302,"2,48",Aceita
L6053,C3302,"2,82",Aceita
J6057,C3302,"2,82",Aceita
K6064,C3302,,Cancelada
G6066,C3302,,Cancelada
J6093,C3302,"3,82",Aceita
G6120,C3302,"3,15",Cancelada
G6126,C3302,,Aceita
I6128,C3302,,Aceita
L6131,C3302,,Aceita
H6139,C3302,,Aceita
K6142,C3302,"2,48",Negada
G6144,C3302,"3,15",Aceita
J6177,C3302,,Aceita
I6182,C3302,"3,24",Aceita
L6203,C3302,"2,15",Negada
G6204,C3302,,Aceita
I6206,C3302,"2,91",Negada
G6210,C3302,,Aceita
L6215,C3302,"2,48",Aceita
J6219,C3302,,Aceita
H6223,C3302,"2,82",Escolhida
I6230,C3302,"3,15",Aceita
J6231,C3302,"2,48",Aceita
K6238,C3302,"3,48",Aceita
L6017,D3303,,Aceita
I6206,D3303,"2,91",Escolhida
J6177,E3304,,Escolhida
G6210,E3304,,Negada
I6230,E3304,"3,15",Aceita
J6153,F3305,"2,82",Cancelada
J6015,A3306,"3,48",Negada
I6032,A3306,,Cancelada
I6050,A3306,"4,15",Aceita
I6188,A3306,,Escolhida
H6025,B3307,"2,82",Cancelada
J6153,B3307,"2,82",Cancelada
G6180,B3307,"3,48",Aceita
L6023,C3308,"4,15",Aceita
J6153,D3309,"2,82",Cancelada
H6091,D3309,"2,48",Aceita
I6122,D3309,"3,48",Aceita
H6001,E3310,,Aceita
J6003,E3310,"2,82",Negada
K6016,E3310,,Aceita
G6018,E3310,"3,48",Aceita
H6019,E3310,"2,82",Aceita
I6020,E3310,"3,93",Negada
K6022,E3310,"3,48",Aceita
J6027,E3310,"4,29",Negada
L6017,E3310,,Cancelada
L6077,E3310,"4,15",Cancelada
G6126,E3310,,Cancelada
J6159,E3310,,Cancelada
G6192,E3310,,Cancelada
L6203,E3310,"2,15",Cancelada
K6238,E3310,"3,48",Cancelada
K6034,E3310,"3,15",Aceita
J6039,E3310,,Escolhida
L6047,E3310,,Negada
G6048,E3310,"2,82",Negada
I6050,E3310,"4,15",Aceita
K6052,E3310,"2,15",Negada
L6059,E3310,"2,15",Negada
L6065,E3310,,Negada
L6083,E3310,"3,15",Negada
K6088,E3310,"2,82",Negada
G6096,E3310,"3,15",Aceita
H6097,E3310,"3,48",Negada
I6098,E3310,"3,48",Negada
L6107,E3310,,Negada
L6113,E3310,"3,82",Negada
H6115,E3310,"3,15",Negada
J6117,E3310,"4,15",Aceita
K6118,E3310,"4,15",Aceita
I6122,E3310,"3,48",Aceita
K6124,E3310,"3,48",Negada
L6125,E3310,"4,15",Escolhida
L6131,E3310,,Aceita
I6134,E3310,"3,48",Negada
H6139,E3310,,Negada
I6140,E3310,"3,15",Negada
I6146,E3310,"3,48",Aceita
G6156,E3310,,Negada
H6157,E3310,"3,48",Escolhida
H6163,E3310,,Aceita
I6170,E3310,,Negada
I6176,E3310,"3,15",Negada
G6180,E3310,"3,48",Negada
I6182,E3310,"3,24",Negada
J6189,E3310,"4,15",Aceita
G6198,E3310,,Escolhida
K6202,E3310,,Aceita
J6207,E3310,"3,48",Aceita
L6209,E3310,,Aceita
L6215,E3310,"2,48",Negada
H6223,E3310,"2,82",Negada
J6225,E3310,"4,15",Aceita
L6227,E3310,"2,15",Negada
I6230,E3310,"3,15",Negada
G6240,E3310,,Negada
I6020,F3311,"3,93",Negada
J6027,F3311,"4,29",Negada
L6005,F3311,,Cancelada
G6240,F3311,,Cancelada
K6040,F3311,"3,15",Negada
L6041,F3311,"3,48",Negada
L6059,F3311,"2,15",Negada
I6062,F3311,"3,48",Negada
J6093,F3311,"3,82",Negada
K6154,F3311,,Inválida / Cancelada
I6032,A3312,,Aceita
J6153,A3312,"2,82",Cancelada
I6050,A3312,"4,15",Aceita
G6210,B3313,,Cancelada
L6245,C3314,"4,15",Cancelada
G6216,C3314,"3,48",Inválida / Cancelada
G6174,D3315,"3,48",Cancelada
H6067,D3315,,Aceita
I6218,D3315,,Aceita
H6031,E3316,"3,15",Aceita
K6208,E3316,"2,48",Aceita
H6043,F3317,,Cancelada
G6066,F3317,,Cancelada
H6127,F3317,"3,15",Cancelada
I6206,F3317,"2,91",Cancelada
L6065,F3317,,Cancelada
L6083,F3317,"3,15",Cancelada
I6164,F3317,"2,82",Negada
J6165,F3317,"2,48",Cancelada
L6173,F3317,,Cancelada
L6215,F3317,"2,48",Aceita
L6227,F3317,"2,15",Cancelada
I6110,A3318,"2,82",Cancelada
K6016,B3319,,Aceita
L6017,B3319,,Aceita
L6029,B3319,,Escolhida
K6040,B3319,"3,15",Cancelada
J6093,B3319,"3,82",Cancelada
K6238,B3319,"3,48",Cancelada
L6035,B3319,"3,15",Aceita
K6046,B3319,"2,48",Aceita
G6054,B3319,"3,48",Aceita
J6057,B3319,"2,82",Aceita
K6088,B3319,"2,82",Aceita
J6099,B3319,"3,48",Aceita
I6116,B3319,,Cancelada
G6126,B3319,,Aceita
H6127,B3319,"3,15",Aceita
H6133,B3319,"2,82",Aceita
H6163,B3319,,Aceita
I6164,B3319,"2,82",Aceita
K6190,B3319,"2,15",Escolhida
L6191,B3319,,Aceita
G6192,B3319,,Cancelada
K6196,B3319,"2,48",Aceita
L6203,B3319,"2,15",Aceita
K6214,B3319,,Negada
L6215,B3319,"2,48",Aceita
I6218,B3319,,Aceita
L6227,B3319,"2,15",Escolhida
G6240,B3319,,Aceita
G6246,B3319,"2,82",Aceita
I6026,C3320,,Negada
H6175,C3320,,Cancelada
G6198,C3320,,Cancelada
I6230,C3320,"3,15",Cancelada
I6080,C3320,"3,48",Escolhida
G6126,C3320,,Negada
G6144,C3320,"3,15",Negada
G6162,C3320,,Aceita
K6166,C3320,"3,48",Inválida / Cancelada
H6199,C3320,,Aceita
G6204,C3320,,Aceita
J6207,C3320,"3,48",Aceita
L6209,C3320,,Aceita
J6213,C3320,,Escolhida
K6238,C3320,"3,48",Negada
J6123,D3321,,Aceita
J6159,D3321,,Escolhida
J6231,D3321,"2,48",Negada
H6157,E3322,"3,48",Cancelada
J6045,E3322,,Aceita
G6054,E3322,"3,48",Aceita
L6197,E3322,"3,15",Aceita
I6200,E3322,"3,82",Aceita
G6216,E3322,"3,48",Aceita
J6225,E3322,"4,15",Aceita
K6022,F3323,"3,48",Cancelada
L6023,F3323,"4,15",Cancelada
L6059,F3323,"2,15",Cancelada
I6068,F3323,,Cancelada
H6157,F3323,"3,48",Cancelada
J6039,F3323,,Aceita
J6045,F3323,,Aceita
I6062,F3323,"3,48",Aceita
I6068,F3323,,Cancelada
G6078,F3323,"3,48",Aceita
L6083,F3323,"3,15",Aceita
H6103,F3323,,Aceita
K6124,F3323,"3,48",Aceita
J6135,F3323,"3,48",Aceita
K6136,F3323,,Escolhida
I6140,F3323,"3,15",Aceita
J6159,F3323,,Aceita
H6175,F3323,,Aceita
J6189,F3323,"4,15",Escolhida
G6192,F3323,,Aceita
J6195,F3323,"3,48",Aceita
H6205,F3323,,Aceita
J6099,A3324,"3,48",Cancelada
H6061,A3324,"2,48",Aceita
K6142,A3324,"2,48",Escolhida
G6180,A3324,"3,48",Negada
I6188,A3324,,Aceita
G6180,B3325,"3,48",Aceita
G6024,C3326,"2,82",Cancelada
H6025,D3327,"2,82",Cancelada
J6153,D3327,"2,82",Cancelada
K6142,D3327,"2,48",Aceita
G6180,D3327,"3,48",Aceita
H6025,E3328,"2,82",Cancelada
L6167,E3328,,Negada
K6106,F3329,"2,48",Cancelada
J6033,F3329,"3,15",Aceita
I6092,F3329,"3,48",Inválida / Cancelada
H6145,F3329,"2,15",Aceita
H6151,F3329,"2,48",Cancelada
H6013,A3330,"2,15",Negada
H6007,A3330,"3,15",Cancelada
L6131,A3330,,Cancelada
H6199,A3330,,Cancelada
K6238,A3330,"3,48",Cancelada
L6053,A3330,"2,82",Negada
H6067,A3330,,Aceita
L6107,A3330,,Cancelada
J6123,A3330,,Negada
G6144,A3330,"3,15",Negada
J6177,A3330,,Negada
L6017,B3331,,Aceita
G6012,B3331,,Cancelada
H6193,B3331,"2,82",Cancelada
I6230,B3331,"3,15",Cancelada
G6120,B3331,"3,15",Cancelada
I6182,B3331,"3,24",Aceita
I6116,C3332,,Cancelada
K6214,C3332,,Negada
J6015,D3333,"3,48",Aceita
G6018,D3333,"3,48",Negada
G6138,D3333,,Cancelada
I6242,E3334,"2,82",Aceita
J6027,F3335,"4,29",Escolhida
K6208,F3335,"2,48",Cancelada
K6052,F3335,"2,15",Negada
G6066,F3335,,Cancelada
I6074,F3335,,Negada
L6089,F3335,"2,82",Negada
L6101,F3335,"3,48",Aceita
L6107,F3335,,Cancelada
G6114,F3335,,Aceita
H6115,F3335,"3,15",Negada
I6122,F3335,"3,48",Aceita
H6139,F3335,,Aceita
I6176,F3335,"3,15",Cancelada
G6192,F3335,,Escolhida
G6198,F3335,,Aceita
L6203,F3335,"2,15",Negada
G6234,F3335,"3,48",Negada
G6000,A3336,"4,15",Negada
L6011,A3336,,Aceita
H6013,A3336,"2,15",Negada
I6026,A3336,,Negada
L6161,A3336,,Cancelada
K6190,A3336,"2,15",Cancelada
L6041,A3336,"3,48",Negada
L6053,A3336,"2,82",Negada
K6064,A3336,,Cancelada
K6070,A3336,"3,82",Aceita
H6073,A3336,"2,82",Aceita
I6080,A3336,"3,48",Negada
K6100,A3336,,Inválida / Cancelada
L6101,A3336,"3,48",Inválida / Cancelada
I6116,A3336,,Negada
I6122,A3336,"3,48",Negada
I6128,A3336,,Negada
H6139,A3336,,Negada
J6147,A3336,,Negada
G6162,A3336,,Aceita
G6198,A3336,,Negada
H6199,A3336,,Negada
J6201,A3336,,Negada
J6207,A3336,"3,48",Negada
L6209,A3336,,Negada
J6213,A3336,,Negada
K6220,A3336,"3,15",Inválida / Cancelada
I6230,A3336,"3,15",Negada
H6001,B3337,,Aceita
G6012,B3337,,WaitList
G6018,B3337,"3,48",Aceita
K6022,B3337,"3,48",Escolhida
I6026,B3337,,Aceita
K6040,B3337,"3,15",Aceita
G6042,B3337,,Escolhida
J6045,B3337,,Negada
G6054,B3337,"3,48",Aceita
J6057,B3337,"2,82",Negada
K6058,B3337,"3,48",Aceita
G6066,B3337,,Cancelada
H6067,B3337,,Aceita
I6080,B3337,"3,48",Aceita
H6085,B3337,"3,82",Aceita
I6086,B3337,"3,15",Aceita
K6088,B3337,"2,82",Aceita
H6097,B3337,"3,48",Escolhida
L6101,B3337,"3,48",Aceita
H6103,B3337,,Aceita
K6112,B3337,"3,15",Aceita
L6113,B3337,"3,82",Aceita
K6124,B3337,"3,48",Aceita
L6125,B3337,"4,15",Aceita
H6133,B3337,"2,82",Aceita
I6134,B3337,"3,48",Escolhida
I6140,B3337,"3,15",Aceita
G6144,B3337,"3,15",Negada
I6146,B3337,"3,48",Aceita
H6157,B3337,"3,48",Aceita
J6159,B3337,,Aceita
K6160,B3337,"2,82",Negada
G6162,B3337,,Aceita
H6163,B3337,,Aceita
G6168,B3337,"3,82",Aceita
I6170,B3337,,Aceita
H6175,B3337,,Aceita
L6179,B3337,"4,15",Aceita
G6192,B3337,,Aceita
K6196,B3337,"2,48",Negada
K6202,B3337,,Escolhida
J6207,B3337,"3,48",Aceita
L6215,B3337,"2,48",Negada
L6221,B3337,"3,15",Negada
J6225,B3337,"4,15",Aceita
L6227,B3337,"2,15",Negada
K6238,B3337,"3,48",Aceita
G6240,B3337,,Negada
J6243,B3337,"2,82",Aceita
G6042,C3338,,Cancelada
I6062,C3338,"3,48",Aceita
H6175,C3338,,Aceita
G6186,C3338,"3,15",Cancelada
I6242,C3338,"2,82",Aceita
H6103,D3339,,Cancelada
J6045,D3339,,Aceita
G6054,D3339,"3,48",Aceita
I6062,D3339,"3,48",Aceita
I6134,D3339,"3,48",Aceita
L6143,D3339,"3,48",Aceita
H6145,D3339,"2,15",Aceita
G6168,D3339,"3,82",Aceita
J6195,D3339,"3,48",Aceita
L6197,D3339,"3,15",Aceita
I6038,E3340,"3,15",Cancelada
H6049,E3340,,Aceita
K6142,E3340,"2,48",Aceita
G6174,E3340,"3,48",Aceita
L6245,E3340,"4,15",Aceita
G6054,F3341,"3,48",Aceita
I6092,A3342,"3,48",Cancelada
K6004,B3343,"3,15",Negada
H6037,B3343,"2,48",Cancelada
K6220,B3343,"3,15",Negada
H6013,C3344,"2,15",Negada
G6030,C3344,"3,15",Aceita
G6066,C3344,,Cancelada
K6196,C3344,"2,48",Cancelada
K6034,C3344,"3,15",Negada
K6040,C3344,"3,15",Negada
I6044,C3344,"3,82",Aceita
K6052,C3344,"2,15",Negada
L6053,C3344,"2,82",Negada
J6057,C3344,"2,82",Negada
L6065,C3344,,Negada
K6070,C3344,"3,82",Aceita
K6088,C3344,"2,82",Negada
L6101,C3344,"3,48",Aceita
K6118,C3344,"4,15",Aceita
I6128,C3344,,Negada
H6133,C3344,"2,82",Negada
H6139,C3344,,Negada
K6154,C3344,,Inválida / Cancelada
H6175,C3344,,Negada
J6201,C3344,,Aceita
K6226,C3344,,Negada
I6230,C3344,"3,15",Negada
L6239,C3344,"3,48",Negada
J6243,C3344,"2,82",Escolhida
I6008,D3345,"2,82",Negada
L6107,D3345,,Cancelada
H6109,D3345,,Negada
H6031,E3346,"3,15",Aceita
I6014,F3347,"2,82",Cancelada
L6005,F3347,,Cancelada
L6077,F3347,"4,15",Cancelada
H6115,F3347,"3,15",Cancelada
J6135,F3347,"3,48",Cancelada
I6218,F3347,,Cancelada
L6221,F3347,"3,15",Cancelada
J6039,F3347,,Cancelada
J6045,F3347,,Cancelada
G6072,F3347,"3,48",Inválida / Cancelada
G6078,F3347,"3,48",Cancelada
K6130,F3347,"2,82",Cancelada
K6184,F3347,,Cancelada
I6092,A3348,"3,48",Cancelada
G6000,B3349,"4,15",Negada
I6026,B3349,,Aceita
L6053,B3349,"2,82",Cancelada
L6101,B3349,"3,48",Cancelada
H6103,B3349,,Cancelada
L6125,B3349,"4,15",Cancelada
I6194,B3349,,Cancelada
L6203,B3349,"2,15",Cancelada
I6056,B3349,"3,82",Negada
H6079,B3349,,Escolhida
K6082,B3349,,Negada
K6094,B3349,,Negada
J6147,B3349,,Aceita
L6149,B3349,"4,15",Negada
K6226,B3349,,Negada
I6188,C3350,,Cancelada
L6041,C3350,"3,48",Aceita
G6138,C3350,,Aceita
J6003,D3351,"2,82",Aceita
L6203,D3351,"2,15",Cancelada
J6039,D3351,,Aceita
K6040,D3351,"3,15",Aceita
J6045,D3351,,Aceita
G6054,D3351,"3,48",Aceita
L6065,D3351,,Aceita
L6083,D3351,"3,15",Aceita
G6096,D3351,"3,15",Aceita
H6097,D3351,"3,48",Aceita
I6110,D3351,"2,82",Cancelada
K6130,D3351,"2,82",Aceita
I6140,D3351,"3,15",Aceita
H6145,D3351,"2,15",Aceita
H6157,D3351,"3,48",Cancelada
J6159,D3351,,Aceita
H6163,D3351,,Cancelada
K6196,D3351,"2,48",Aceita
L6197,D3351,"3,15",Aceita
I6224,D3351,"3,15",Escolhida
G6240,D3351,,Aceita
I6242,D3351,"2,82",Aceita
L6029,E3352,,Negada
H6073,E3352,"2,82",Aceita
K6136,E3352,,Aceita
K6208,E3352,"2,48",Negada
J6231,E3352,"2,48",Negada
H6049,F3353,,Aceita
G6090,F3353,"3,48",Aceita
J6165,F3353,"2,48",Aceita
L6179,F3353,"4,15",Cancelada
G6162,A3354,,Negada
I6188,A3354,,Negada
L6011,B3355,,Negada
K6022,B3355,"3,48",Negada
L6023,B3355,"4,15",Cancelada
G6030,B3355,"3,15",Escolhida
K6022,B3355,"3,48",Cancelada
K6112,B3355,"3,15",Cancelada
L6113,B3355,"3,82",Cancelada
J6141,B3355,"3,82",Cancelada
H6205,B3355,,Cancelada
H6229,B3355,"4,15",Cancelada
G6234,B3355,"3,48",Cancelada
L6041,B3355,"3,48",Negada
I6044,B3355,"3,82",Negada
J6051,B3355,,Negada
I6080,B3355,"3,48",Negada
I6080,B3355,"3,48",Negada
K6094,B3355,,Negada
L6095,B3355,,Negada
G6096,B3355,"3,15",Negada
L6101,B3355,"3,48",Negada
G6108,B3355,,Negada
K6124,B3355,"3,48",Negada
I6128,B3355,,Negada
I6146,B3355,"3,48",Negada
J6147,B3355,,Aceita
H6163,B3355,,Negada
K6166,B3355,"3,48",Negada
G6168,B3355,"3,82",Negada
I6176,B3355,"3,15",Negada
H6181,B3355,,Negada
L6185,B3355,,Negada
J6189,B3355,"4,15",Negada
H6199,B3355,,Negada
J6201,B3355,,Negada
L6203,B3355,"2,15",Negada
J6207,B3355,"3,48",Negada
H6229,B3355,"4,15",Negada
J6237,B3355,,Negada
G6012,C3356,,Aceita
H6013,C3356,"2,15",Escolhida
I6026,C3356,,Cancelada
I6170,C3356,,Cancelada
G6066,C3356,,Cancelada
K6076,C3356,"3,15",Cancelada
L6077,C3356,"4,15",Cancelada
I6080,C3356,"3,48",Cancelada
K6082,C3356,,Cancelada
J6099,C3356,"3,48",Cancelada
L6113,C3356,"3,82",Cancelada
I6116,C3356,,Cancelada
K6190,C3356,"2,15",Cancelada
G6222,C3356,"2,82",Cancelada
K6238,C3356,"3,48",Cancelada
G6240,C3356,,Cancelada
L6053,C3356,"2,82",Aceita
H6097,C3356,"3,48",Aceita
G6114,C3356,,Negada
K6118,C3356,"4,15",Aceita
H6163,C3356,,Aceita
L6173,C3356,,Cancelada
H6175,C3356,,Aceita
K6202,C3356,,Aceita
L6203,C3356,"2,15",Aceita
H6235,C3356,"3,15",Aceita
J6243,C3356,"2,82",Aceita
J6105,D3357,,Cancelada
I6188,E3358,,Cancelada
K6106,F3359,"2,48",Cancelada
J6195,F3359,"3,48",Aceita
L6245,F3359,"4,15",Aceita
H6235,A3360,"3,15",Cancelada
I6128,A3360,,Negada
J6219,A3360,,Negada
L6077,B3361,"4,15",Cancelada
I6140,B3361,"3,15",Cancelada
J6213,B3361,,Cancelada
K6058,B3361,"3,48",Negada
G6060,B3361,"3,82",Negada
H6103,B3361,,Negada
G6108,B3361,,Negada
G6120,B3361,"3,15",Cancelada
I6128,B3361,,Aceita
I6134,B3361,"3,48",Negada
I6146,B3361,"3,48",Negada
G6168,B3361,"3,82",Negada
H6181,B3361,,Negada
J6195,B3361,"3,48",Negada
H6109,C3362,,Cancelada
L6095,D3363,,Cancelada
K6190,D3363,"2,15",Cancelada
K6208,D3363,"2,48",Cancelada
J6051,D3363,,Negada
I6098,D3363,"3,48",Negada
I6122,D3363,"3,48",Aceita
G6126,D3363,,Negada
H6139,D3363,,Negada
J6177,D3363,,Negada
I6116,E3364,,Cancelada
I6122,E3364,"3,48",Cancelada
I6230,E3364,"3,15",Cancelada
L6035,E3364,"3,15",Aceita
J6051,E3364,,Negada
K6052,E3364,"2,15",Negada
I6098,E3364,"3,48",Aceita
I6170,E3364,,Aceita
J6171,E3364,,Aceita
I6182,E3364,"3,24",Aceita
K6190,E3364,"2,15",Negada
G6210,E3364,,Aceita
H6217,E3364,"3,15",Cancelada
H6235,E3364,"3,15",Aceita
H6241,E3364,"3,15",Aceita
J6033,F3365,"3,15",Aceita
H6151,F3365,"2,48",Aceita
G6168,F3365,"3,82",Aceita
J6195,F3365,"3,48",Aceita
L6245,F3365,"4,15",Aceita
G6012,A3366,,Inválida / Cancelada
K6052,A3366,"2,15",Negada
G6114,A3366,,Aceita
J6123,A3366,,Aceita
K6208,A3366,"2,48",Aceita
G6222,A3366,"2,82",Aceita
H6223,B3367,"2,82",Cancelada
K6034,B3367,"3,15",Aceita
K6040,B3367,"3,15",Aceita
K6154,B3367,,Cancelada
K6196,B3367,"2,48",Aceita
L6215,B3367,"2,48",Aceita
L6227,B3367,"2,15",Aceita
G6240,B3367,,Aceita
I6014,C3368,"2,82",Aceita
J6003,D3369,"2,82",Aceita
L6005,D3369,,Escolhida
I6008,D3369,"2,82",Aceita
H6019,D3369,"2,82",Aceita
I6020,D3369,"3,93",Aceita
J6021,D3369,,Escolhida
J6027,D3369,"4,29",Aceita
I6002,D3369,,Cancelada
G6012,D3369,,Cancelada
K6040,D3369,"3,15",Cancelada
L6059,D3369,"2,15",Cancelada
I6068,D3369,,Cancelada
L6077,D3369,"4,15",Cancelada
L6101,D3369,"3,48",Cancelada
H6115,D3369,"3,15",Cancelada
G6156,D3369,,Cancelada
J6189,D3369,"4,15",Cancelada
G6210,D3369,,Cancelada
I6236,D3369,,Cancelada
K6034,D3369,"3,15",Aceita
H6037,D3369,"2,48",Aceita
J6039,D3369,,Aceita
H6043,D3369,,Escolhida
J6045,D3369,,Aceita
K6046,D3369,"2,48",Aceita
L6047,D3369,,Aceita
K6052,D3369,"2,15",Aceita
G6054,D3369,"3,48",Aceita
I6056,D3369,"3,82",Aceita
L6065,D3369,,Escolhida
J6069,D3369,,Escolhida
G6072,D3369,"3,48",Escolhida
J6075,D3369,,Aceita
G6078,D3369,"3,48",Escolhida
J6081,D3369,,Inválida / Cancelada
L6083,D3369,"3,15",Escolhida
G6084,D3369,"2,82",Escolhida
K6088,D3369,"2,82",Aceita
I6092,D3369,"3,48",Cancelada
G6096,D3369,"3,15",Aceita
I6098,D3369,"3,48",Aceita
H6103,D3369,,Escolhida
L6107,D3369,,Cancelada
H6109,D3369,,Aceita
J6117,D3369,"4,15",Aceita
J6123,D3369,,Cancelada
K6124,D3369,"3,48",Aceita
L6125,D3369,"4,15",Aceita
H6127,D3369,"3,15",Escolhida
J6129,D3369,"3,48",Aceita
K6130,D3369,"2,82",Aceita
L6131,D3369,,Aceita
G6132,D3369,,Aceita
I6134,D3369,"3,48",Aceita
J6135,D3369,"3,48",Aceita
I6140,D3369,"3,15",Aceita
L6143,D3369,"3,48",Escolhida
I6146,D3369,"3,48",Aceita
K6148,D3369,"2,15",Cancelada
L6149,D3369,"4,15",Cancelada
K6154,D3369,,Cancelada
I6158,D3369,,Cancelada
H6163,D3369,,Aceita
I6164,D3369,"2,82",Cancelada
J6165,D3369,"2,48",Aceita
G6168,D3369,"3,82",Escolhida
I6170,D3369,,Aceita
J6171,D3369,,Cancelada
L6173,D3369,,Cancelada
G6174,D3369,"3,48",Aceita
J6177,D3369,,Aceita
